"community","betweenees centrality","bc score","closenees centrality","cc score","katz","katz score"
"0","9902098.0","0.6904040682965127","9902098.0","0.0659826721386229","9711200.0","0.049553097652812586"
"1","9706005.0","0.6082906768380196","9706005.0","0.06165797296539346","9711200.0","0.05190367720778197"
"2","9703110.0","0.6293615318887126","9703110.0","0.04842589185239703","9711200.0","0.06905880461056554"
"3","101043.0","0.6461619453737072","101043.0","0.07446315464236057","11127.0","0.05189591113212778"
"4","9602045.0","0.6373761052009096","9602045.0","0.06054671222601884","9905111.0","0.04635167023636168"
"5","9706005.0","0.6044928352108693","9706005.0","0.05843404730565195","9711200.0","0.050292368927667024"
"6","9706005.0","0.6010678620890736","9706005.0","0.058173622191038235","9711200.0","0.04948349923154908"
"7","9706005.0","0.604184168120654","9706005.0","0.05841355945674744","9711200.0","0.05021588856583403"
"8","9706005.0","0.6048072547953527","9706005.0","0.058439998799075285","9711200.0","0.05037910918847528"
"9","9706005.0","0.6051111069466413","9706005.0","0.062279922511318274","9711200.0","0.050464478445080736"
"10","9706005.0","0.602221777555723","9706005.0","0.0624856624470814","9711200.0","0.04963424113292342"
"11","9706005.0","0.6012062373157403","9706005.0","0.058139311233567026","9711200.0","0.0495177435438863"
"12","9806195.0","0.6484715784492525","9806195.0","0.054791579961886404","9711200.0","0.04869019530836166"
