"community","DP value","DP count","PP nodes","PP value","PP count","RP","RP nodes","Rp nodes count"
"0","8.638562543192812e-05","11576","[304232.0]","21.5","1","999","[206001.0, 110162.0, 202060.0, 110055.0, 211176.0, 301237.0, 106267.0, 107059.0, 107203.0, 211256.0, 3203.0, 3245.0, 4102.0, 5135.0, 9912059.0, 9907093.0, 301211.0, 9807014.0, 9802140.0, 9803224.0, 9905076.0]","21"
"1","9.096697898662786e-05","10993","[301227.0]","24.5","1","999","[211184.0, 211252.0, 7021.0, 9912042.0, 105200.0, 9805131.0]","6"
"2","0.00011013215859030837","9080","[211238.0]","28.5","1","999","[205295.0, 207135.0, 210131.0, 212255.0, 209195.0, 103155.0, 104184.0, 104208.0, 205170.0, 5053.0, 206139.0]","11"
"3","0.0006915629322268327","1446","[211238.0]","21.0","1","999","[303194.0, 112140.0, 201004.0, 112009.0, 201268.0]","5"
"4","8.602890571231934e-05","11624","[304232.0]","20.0","1","999","[210302.0, 111268.0, 9912161.0, 2032.0, 101151.0, 9707012.0, 11065.0]","7"
"5","8.532423208191126e-05","11720","[301227.0]","28.0","1","999","[110006.0, 4187.0, 109175.0, 9910219.0, 9909127.0, 9812072.0, 9903160.0, 9711003.0, 9805115.0, 9605112.0]","10"
"6","8.261049153242462e-05","12105","[301227.0]","28.0","1","999","[102194.0, 203065.0, 205065.0, 209026.0, 5266.0, 9811168.0, 9906152.0, 9901017.0, 9710082.0, 9801083.0, 9709178.0, 9707174.0]","12"
"7","8.504124500382685e-05","11759","[301227.0]","28.0","1","999","[107101.0, 110204.0, 105210.0, 9910022.0, 12023.0, 9912279.0, 2046.0, 5074.0]","8"
"8","8.562376915831835e-05","11679","[301227.0]","28.0","1","999","[104100.0, 106207.0, 206139.0, 9708119.0, 9810035.0, 9708078.0, 9708016.0, 9707261.0, 110105.0, 9703059.0, 9601036.0, 9602097.0, 9512188.0, 211144.0]","14"
"9","8.592541673827119e-05","11638","[301227.0]","26.5","1","999","[112254.0, 204030.0, 205051.0, 301081.0, 201016.0, 209148.0, 5001.0, 204136.0, 9812177.0, 9909075.0, 9709138.0, 9810017.0]","12"
